Man_HRs,Capacity,Pressure,Boiler,Drum
3137,120,375,1,1
3590,65,750,1,1
4526,150,500,1,1
10825,1073.8,2170,0,1
4023,150,325,1,1
7606,610,1500,0,1
3748,88.2,399,1,1
2972,88.2,399,1,1
3163,88.2,399,1,1
4065,90,1140,1,1
2048,30,325,1,1
6500,441,410,1,1
5651,441,410,1,1
6565,441,410,1,1
6387,441,410,1,1
6454,627,1525,0,1
6928,610,1500,0,1
4268,150,500,1,1
14791,1089.5,2170,0,1
2680,125,750,1,1
2974,120,375,1,0
1965,65,750,1,0
2566,150,500,1,0
1515,150,250,1,0
2000,150,500,1,0
2735,150,325,1,0
3698,610,1500,0,0
2635,90,1140,1,0
1206,30,325,1,0
3775,441,410,1,0
3120,441,410,1,0
4206,441,410,1,0
4006,441,410,1,0
3728,627,1525,0,0
3211,610,1500,0,0
1200,30,325,1,0
